"officer_id","year","month","num_stops","percent_missing_race","yrmth"
867,"2012","08",6,0,2012-08-01
867,"2012","09",7,0,2012-09-01
867,"2012","10",2,0,2012-10-01
867,"2012","11",3,0,2012-11-01
867,"2012","12",1,0,2012-12-01
867,"2013","01",1,0,2013-01-01
867,"2013","02",3,0,2013-02-01
867,"2013","03",2,0,2013-03-01
867,"2013","04",3,0,2013-04-01
867,"2013","05",2,0,2013-05-01
867,"2013","09",1,0,2013-09-01
867,"2014","02",1,0,2014-02-01
867,"2014","03",1,0,2014-03-01
867,"2014","04",1,0,2014-04-01
867,"2014","05",1,0,2014-05-01
867,"2014","06",4,0,2014-06-01
867,"2014","07",4,0,2014-07-01
867,"2014","08",24,0,2014-08-01
867,"2014","09",5,0,2014-09-01
867,"2014","10",5,0,2014-10-01
867,"2014","11",1,0,2014-11-01
867,"2014","12",1,0,2014-12-01
867,"2015","04",2,50,2015-04-01
867,"2015","06",2,100,2015-06-01
867,"2015","07",9,11.1111111111111,2015-07-01
867,"2015","08",3,0,2015-08-01
867,"2015","09",5,0,2015-09-01
867,"2015","10",6,0,2015-10-01
867,"2015","11",2,0,2015-11-01
867,"2015","12",4,0,2015-12-01
872,"2011","01",65,0,2011-01-01
872,"2011","02",76,0,2011-02-01
872,"2011","03",75,0,2011-03-01
872,"2011","04",47,0,2011-04-01
872,"2011","05",151,0,2011-05-01
872,"2011","06",95,0,2011-06-01
872,"2011","07",120,0,2011-07-01
872,"2011","08",68,0,2011-08-01
872,"2011","09",16,0,2011-09-01
873,"2011","01",128,0,2011-01-01
873,"2011","02",84,0,2011-02-01
873,"2011","03",44,0,2011-03-01
873,"2011","04",63,0,2011-04-01
873,"2011","05",147,0,2011-05-01
873,"2011","06",12,0,2011-06-01
917,"2011","04",1,0,2011-04-01
917,"2011","11",3,0,2011-11-01
917,"2011","12",13,0,2011-12-01
917,"2012","01",5,0,2012-01-01
917,"2012","02",4,50,2012-02-01
917,"2012","05",1,0,2012-05-01
917,"2012","06",3,33.3333333333333,2012-06-01
917,"2012","08",4,25,2012-08-01
917,"2012","10",3,0,2012-10-01
917,"2012","11",3,33.3333333333333,2012-11-01
917,"2012","12",5,40,2012-12-01
917,"2013","07",1,0,2013-07-01
917,"2013","09",2,50,2013-09-01
917,"2014","03",1,0,2014-03-01
917,"2014","05",2,50,2014-05-01
925,"2011","01",64,0,2011-01-01
925,"2011","02",87,0,2011-02-01
925,"2011","03",115,0,2011-03-01
925,"2011","04",81,0,2011-04-01
925,"2011","05",129,0,2011-05-01
925,"2011","06",64,0,2011-06-01
925,"2011","07",108,0,2011-07-01
925,"2011","08",70,0,2011-08-01
925,"2011","09",80,0,2011-09-01
925,"2011","10",24,0,2011-10-01
925,"2011","11",15,0,2011-11-01
925,"2011","12",67,0,2011-12-01
925,"2012","01",87,0,2012-01-01
925,"2012","02",76,0,2012-02-01
925,"2012","03",77,0,2012-03-01
925,"2012","04",41,0,2012-04-01
925,"2012","05",113,0,2012-05-01
925,"2012","06",89,0,2012-06-01
925,"2012","07",129,0.775193798449612,2012-07-01
925,"2012","08",94,0,2012-08-01
925,"2012","09",76,0,2012-09-01
925,"2012","10",17,0,2012-10-01
925,"2012","11",40,0,2012-11-01
925,"2012","12",70,0,2012-12-01
925,"2013","01",52,0,2013-01-01
925,"2013","02",64,0,2013-02-01
925,"2013","03",132,0,2013-03-01
925,"2013","04",70,0,2013-04-01
925,"2013","05",98,0,2013-05-01
925,"2013","06",80,0,2013-06-01
925,"2013","07",85,0,2013-07-01
925,"2013","08",85,0,2013-08-01
925,"2013","09",46,0,2013-09-01
925,"2013","10",6,0,2013-10-01
925,"2013","11",10,0,2013-11-01
925,"2013","12",35,0,2013-12-01
925,"2014","01",59,0,2014-01-01
925,"2014","02",55,0,2014-02-01
925,"2014","03",71,0,2014-03-01
925,"2014","04",43,0,2014-04-01
925,"2014","05",89,0,2014-05-01
925,"2014","06",87,0,2014-06-01
925,"2014","07",71,0,2014-07-01
925,"2014","08",99,0,2014-08-01
925,"2014","09",76,0,2014-09-01
925,"2014","10",12,0,2014-10-01
925,"2014","11",2,0,2014-11-01
925,"2014","12",16,43.75,2014-12-01
925,"2015","01",18,72.2222222222222,2015-01-01
925,"2015","02",28,50,2015-02-01
925,"2015","03",28,25,2015-03-01
925,"2015","04",46,8.69565217391304,2015-04-01
925,"2015","05",49,12.2448979591837,2015-05-01
926,"2011","03",1,0,2011-03-01
926,"2011","04",12,0,2011-04-01
926,"2011","05",8,0,2011-05-01
926,"2011","06",7,0,2011-06-01
926,"2011","08",1,0,2011-08-01
926,"2011","11",2,0,2011-11-01
926,"2011","12",1,0,2011-12-01
926,"2012","02",1,0,2012-02-01
926,"2012","04",17,0,2012-04-01
926,"2012","05",12,0,2012-05-01
926,"2012","07",17,0,2012-07-01
926,"2012","08",3,0,2012-08-01
926,"2012","09",1,0,2012-09-01
926,"2012","12",1,0,2012-12-01
926,"2013","02",2,0,2013-02-01
926,"2013","04",1,0,2013-04-01
929,"2011","01",79,0,2011-01-01
929,"2011","02",79,0,2011-02-01
929,"2011","03",64,0,2011-03-01
929,"2011","04",84,0,2011-04-01
929,"2011","05",43,0,2011-05-01
929,"2011","06",66,0,2011-06-01
929,"2011","07",50,0,2011-07-01
929,"2011","08",23,0,2011-08-01
929,"2011","09",179,0,2011-09-01
929,"2011","10",154,0,2011-10-01
929,"2011","11",168,0,2011-11-01
929,"2011","12",98,0,2011-12-01
929,"2012","01",118,0,2012-01-01
929,"2012","02",142,0,2012-02-01
929,"2012","03",129,0,2012-03-01
929,"2012","04",52,0,2012-04-01
929,"2012","05",83,0,2012-05-01
929,"2012","06",94,0,2012-06-01
929,"2012","07",70,0,2012-07-01
929,"2012","08",64,0,2012-08-01
929,"2012","09",75,0,2012-09-01
929,"2012","10",93,0,2012-10-01
929,"2012","11",62,0,2012-11-01
929,"2012","12",55,0,2012-12-01
929,"2013","01",69,0,2013-01-01
929,"2013","02",52,0,2013-02-01
929,"2013","03",67,0,2013-03-01
929,"2013","04",30,0,2013-04-01
929,"2013","05",35,0,2013-05-01
939,"2011","04",1,0,2011-04-01
939,"2011","06",1,0,2011-06-01
939,"2011","07",3,33.3333333333333,2011-07-01
939,"2011","08",1,0,2011-08-01
939,"2011","09",1,0,2011-09-01
939,"2011","10",3,0,2011-10-01
939,"2012","01",1,0,2012-01-01
939,"2012","04",1,0,2012-04-01
939,"2012","05",1,0,2012-05-01
939,"2012","06",1,0,2012-06-01
939,"2012","09",1,0,2012-09-01
939,"2012","10",2,0,2012-10-01
939,"2013","06",3,0,2013-06-01
939,"2013","07",1,0,2013-07-01
939,"2013","08",2,0,2013-08-01
939,"2013","09",1,0,2013-09-01
939,"2014","06",2,0,2014-06-01
939,"2014","07",1,0,2014-07-01
939,"2014","08",1,0,2014-08-01
946,"2011","01",99,0,2011-01-01
946,"2011","02",75,0,2011-02-01
946,"2011","03",32,0,2011-03-01
946,"2011","04",21,0,2011-04-01
946,"2011","05",67,0,2011-05-01
946,"2011","06",9,0,2011-06-01
946,"2011","07",34,0,2011-07-01
946,"2011","08",12,0,2011-08-01
946,"2011","09",56,0,2011-09-01
946,"2011","10",24,0,2011-10-01
946,"2011","11",22,0,2011-11-01
946,"2011","12",40,0,2011-12-01
946,"2012","01",42,0,2012-01-01
946,"2012","02",49,0,2012-02-01
946,"2012","03",49,0,2012-03-01
946,"2012","04",44,0,2012-04-01
946,"2012","05",96,0,2012-05-01
946,"2012","06",113,0,2012-06-01
946,"2012","07",70,0,2012-07-01
946,"2012","08",56,0,2012-08-01
946,"2012","09",100,0,2012-09-01
946,"2012","10",21,0,2012-10-01
946,"2012","11",33,0,2012-11-01
946,"2012","12",61,0,2012-12-01
946,"2013","01",35,0,2013-01-01
946,"2013","02",19,0,2013-02-01
946,"2013","03",71,0,2013-03-01
946,"2013","04",64,0,2013-04-01
946,"2013","05",45,0,2013-05-01
946,"2013","06",40,0,2013-06-01
946,"2013","07",13,0,2013-07-01
946,"2013","08",36,0,2013-08-01
946,"2013","09",54,0,2013-09-01
946,"2013","10",32,3.125,2013-10-01
946,"2013","11",17,0,2013-11-01
946,"2013","12",59,0,2013-12-01
946,"2014","01",31,0,2014-01-01
946,"2014","02",50,0,2014-02-01
946,"2014","03",65,1.53846153846154,2014-03-01
946,"2014","04",51,0,2014-04-01
946,"2014","05",159,0,2014-05-01
946,"2014","06",41,0,2014-06-01
946,"2014","07",79,1.26582278481013,2014-07-01
946,"2014","08",142,0,2014-08-01
946,"2014","09",43,2.32558139534884,2014-09-01
946,"2014","10",44,0,2014-10-01
946,"2014","11",29,48.2758620689655,2014-11-01
946,"2014","12",49,100,2014-12-01
946,"2015","01",52,100,2015-01-01
946,"2015","02",51,100,2015-02-01
946,"2015","03",52,100,2015-03-01
946,"2015","04",77,100,2015-04-01
946,"2015","05",112,100,2015-05-01
946,"2015","06",58,100,2015-06-01
946,"2015","07",167,99.4011976047904,2015-07-01
946,"2015","08",76,100,2015-08-01
946,"2015","09",136,100,2015-09-01
946,"2015","10",88,100,2015-10-01
946,"2015","11",51,100,2015-11-01
946,"2015","12",64,100,2015-12-01
949,"2011","01",50,0,2011-01-01
949,"2011","02",28,0,2011-02-01
949,"2011","03",30,0,2011-03-01
949,"2011","04",49,0,2011-04-01
949,"2011","05",115,0,2011-05-01
949,"2011","06",53,0,2011-06-01
949,"2011","07",137,0,2011-07-01
949,"2011","08",49,0,2011-08-01
949,"2011","09",30,0,2011-09-01
949,"2011","10",86,0,2011-10-01
949,"2011","11",82,0,2011-11-01
949,"2011","12",26,0,2011-12-01
949,"2012","01",50,0,2012-01-01
949,"2012","02",67,0,2012-02-01
949,"2012","03",86,0,2012-03-01
949,"2012","04",52,0,2012-04-01
949,"2012","05",106,0,2012-05-01
949,"2012","06",59,0,2012-06-01
949,"2012","07",65,0,2012-07-01
949,"2012","08",69,0,2012-08-01
949,"2012","09",63,0,2012-09-01
949,"2012","10",87,0,2012-10-01
949,"2012","11",97,0,2012-11-01
949,"2012","12",52,0,2012-12-01
